dataset,series,model,mse,mae
bpic_12_A,concurrent_cases,gru,13967.42238860072,93.9060702739994
bpic_12_A,concurrent_cases,nbeats,15242.622842268569,110.7919016870959
bpic_12_A,throughput_time,naive,5215.251422399867,60.17720955945479
bpic_12_A,throughput_time,naive_recent,9418.856605603789,73.73230114814281
bpic_12_A,throughput_time,seasonal_naive,16181.207064172835,84.88781191618487
bpic_12_A,throughput_time,ets,6508.472538227915,58.04914685015969
bpic_12_A,throughput_time,sarimax,14801.227586024153,95.04064667483684
bpic_12_A,throughput_time,ridge,13084.398784532052,87.8985200385648
bpic_12_A,throughput_time,gru,4635.224296176466,55.357212187603075
bpic_12_A,throughput_time,nbeats,6518.064754453925,67.37602588893974
